,Time (sec),Data (Voltage)
0,0.029776334762573242,1.8134765625
1,0.13842558860778809,1.8076171875
2,0.24789166450500488,1.8017578125
3,0.3567020893096924,1.8046875
4,0.46532130241394043,1.8251953125
5,0.5748600959777832,1.8076171875
6,0.6834254264831543,1.810546875
7,0.792426347732544,1.8193359375
8,0.901496171951294,1.7958984375
9,1.0106327533721924,1.8193359375
10,1.1190109252929688,1.8662109375
11,1.2282934188842773,1.79296875
12,1.3375930786132812,1.81640625
13,1.4461522102355957,1.8369140625
14,1.555408239364624,1.8427734375
15,1.6648435592651367,1.8251953125
16,1.7732834815979004,1.8046875
17,1.8821444511413574,1.5498046875
18,1.9913771152496338,1.4033203125
19,2.100752830505371,1.2421875
20,2.2097535133361816,1.1455078125
21,2.3191072940826416,1.0751953125
22,2.4271745681762695,0.94921875
23,2.5364737510681152,0.8525390625
24,2.6453235149383545,0.71484375
25,2.7552144527435303,0.5361328125
26,2.863481044769287,0.38671875
27,2.9726765155792236,0.4130859375
28,3.082095146179199,0.4189453125
29,3.1914541721343994,0.421875
30,3.300142526626587,0.251953125
31,3.4088571071624756,0.0
32,3.5174684524536133,0.0
33,3.6258270740509033,0.0
34,3.7347264289855957,0.0
35,3.843080759048462,0.0
36,3.9520695209503174,0.0
37,4.0595245361328125,0.0
38,4.169128894805908,0.0
39,4.277502775192261,0.0
40,4.38665771484375,0.08203125
41,4.495481967926025,0.17578125
42,4.604707717895508,0.2900390625
43,4.7134010791778564,0.310546875
44,4.82207989692688,0.4423828125
45,4.932181119918823,0.5185546875
46,5.040913820266724,0.7001953125
47,5.150092124938965,0.873046875
48,5.258787631988525,1.0517578125
49,5.36774206161499,1.0810546875
50,5.476890563964844,1.154296875
51,5.585883140563965,1.154296875
52,5.694668292999268,1.0810546875
53,5.803887844085693,1.125
54,5.912808656692505,1.1630859375
55,6.021454572677612,1.095703125
56,6.130662441253662,1.1513671875
57,6.239309310913086,1.1572265625
58,6.348276376724243,1.34765625
59,6.457657814025879,1.5966796875
60,6.567288875579834,1.875
61,6.675536632537842,2.0537109375
62,6.785274267196655,2.3203125
63,6.893347263336182,2.5986328125
64,7.003146409988403,2.7509765625
65,7.111793756484985,2.9970703125
66,7.221216917037964,2.9970703125
67,7.330062389373779,2.9970703125
68,7.438756704330444,2.9970703125
69,7.548213720321655,2.9970703125
70,7.656411409378052,2.9970703125
71,7.765596866607666,2.9970703125
72,7.8749730587005615,2.9970703125
73,7.983772277832031,2.9970703125
74,8.092843055725098,2.9970703125
75,8.202201843261719,2.958984375
76,8.3106107711792,2.84765625
77,8.420141696929932,2.7626953125
78,8.529422521591187,2.6865234375
79,8.63752007484436,2.666015625
80,8.746835231781006,2.5546875
81,8.855527639389038,2.4697265625
82,8.965096712112427,2.361328125
83,9.074219703674316,2.2880859375
84,9.183282375335693,2.15625
85,9.29180908203125,2.0126953125
86,9.400848150253296,1.8486328125
87,9.509359359741211,1.7490234375
88,9.618929862976074,1.6552734375
89,9.728260517120361,1.5673828125
90,9.83632516860962,1.39453125
91,9.945569038391113,1.2802734375
92,10.054838418960571,1.078125
